,Run,Start Date,Hall,Isotope,Activity(uCi),Lambda_D(s),Lambda_V(s),P
0,Jan-March_2020,01/01/2020 00:00:00,hall_a,N-13,841080.8293909866,0.0011552453009332421,1.1236844047619048e-05,114900000.0
1,Jan-March_2020,01/01/2020 00:00:00,hall_a,Ar-41,254.45068815935164,0.00010518166624581871,1.1236844047619048e-05,0.0
2,Jan-March_2020,01/01/2020 00:00:00,hall_a,C-11,112304.20099895675,0.0005635342931381669,1.1236844047619048e-05,15500000.0
3,Jan-March_2020,01/01/2020 00:00:00,hall_a,H-3,25.471793517041416,1.7864618055668693e-09,1.1236844047619048e-05,22100000.0
4,Jan-March_2020,01/01/2020 00:00:00,hall_a,Be-7,529.4800789417533,1.4842552046251505e-07,1.1236844047619048e-05,5600000.0
5,Jan-March_2020,01/01/2020 00:00:00,hall_a,O-15,444114.74756805325,0.005501168099682105,1.1236844047619048e-05,60200000.0
6,Jan-March_2020,01/01/2020 00:00:00,hall_a,Cl-38,4849.153506162667,0.00031222845971168707,1.1236844047619048e-05,680000.0
7,Jan-March_2020,01/01/2020 00:00:00,hall_a,Cl-39,59588.693386007944,0.0002100446001696804,1.1236844047619048e-05,8500000.0
8,Jan-March_2020,01/01/2020 00:00:00,hall_c,N-13,231163.52135271922,0.0011552453009332421,1.5731581666666668e-05,114900000.0
9,Jan-March_2020,01/01/2020 00:00:00,hall_c,Ar-41,59.44092481484137,0.00010518166624581871,1.5731581666666668e-05,0.0
10,Jan-March_2020,01/01/2020 00:00:00,hall_c,C-11,30743.70936691983,0.0005635342931381669,1.5731581666666668e-05,15500000.0
11,Jan-March_2020,01/01/2020 00:00:00,hall_c,H-3,5.040008200756384,1.7864618055668693e-09,1.5731581666666668e-05,22100000.0
12,Jan-March_2020,01/01/2020 00:00:00,hall_c,Be-7,105.14173891914808,1.4842552046251505e-07,1.5731581666666668e-05,5600000.0
13,Jan-March_2020,01/01/2020 00:00:00,hall_c,O-15,122433.43615860444,0.005501168099682105,1.5731581666666668e-05,60200000.0
14,Jan-March_2020,01/01/2020 00:00:00,hall_c,Cl-38,1319.4844102522306,0.00031222845971168707,1.5731581666666668e-05,680000.0
15,Jan-March_2020,01/01/2020 00:00:00,hall_c,Cl-39,16112.084275303941,0.0002100446001696804,1.5731581666666668e-05,8500000.0
16,Jan-March_2020,01/01/2020 00:00:00,hall_d,N-13,37520.72002446176,0.0011552453009332421,2.5510672612612615e-05,114900000.0
17,Jan-March_2020,01/01/2020 00:00:00,hall_d,Ar-41,34.83561339572931,0.00010518166624581871,2.5510672612612615e-05,0.0
18,Jan-March_2020,01/01/2020 00:00:00,hall_d,C-11,4948.427257574722,0.0005635342931381669,2.5510672612612615e-05,15500000.0
19,Jan-March_2020,01/01/2020 00:00:00,hall_d,H-3,0.5125613389590999,1.7864618055668693e-09,2.5510672612612615e-05,22100000.0
20,Jan-March_2020,01/01/2020 00:00:00,hall_d,Be-7,10.729682535637538,1.4842552046251505e-07,2.5510672612612615e-05,5600000.0
21,Jan-March_2020,01/01/2020 00:00:00,hall_d,O-15,20002.38472409415,0.005501168099682105,2.5510672612612615e-05,60200000.0
22,Jan-March_2020,01/01/2020 00:00:00,hall_d,Cl-38,209.7270622578361,0.00031222845971168707,2.5510672612612615e-05,680000.0
23,Jan-March_2020,01/01/2020 00:00:00,hall_d,Cl-39,2528.023338179529,0.0002100446001696804,2.5510672612612615e-05,8500000.0
24,Jan-March_2020,01/01/2020 00:00:00,BSY,N-13,396250.03344105545,0.0011552453009332421,2.5931178571428572e-05,114900000.0
25,Jan-March_2020,01/01/2020 00:00:00,BSY,Ar-41,9.204394628396054,0.00010518166624581871,2.5931178571428572e-05,0.0
26,Jan-March_2020,01/01/2020 00:00:00,BSY,C-11,52241.924510403245,0.0005635342931381669,2.5931178571428572e-05,15500000.0
27,Jan-March_2020,01/01/2020 00:00:00,BSY,H-3,5.332830074843452,1.7864618055668693e-09,2.5931178571428572e-05,22100000.0
28,Jan-March_2020,01/01/2020 00:00:00,BSY,Be-7,111.6441713476256,1.4842552046251505e-07,2.5931178571428572e-05,5600000.0
29,Jan-March_2020,01/01/2020 00:00:00,BSY,O-15,211297.53050317775,0.005501168099682105,2.5931178571428572e-05,60200000.0
30,Jan-March_2020,01/01/2020 00:00:00,BSY,Cl-38,2213.041744955804,0.00031222845971168707,2.5931178571428572e-05,680000.0
31,Jan-March_2020,01/01/2020 00:00:00,BSY,Cl-39,26662.198678158675,0.0002100446001696804,2.5931178571428572e-05,8500000.0
32,Jul-Sep_2020,07/29/2020 00:00:00,hall_a,N-13,178778.1708689451,0.0011552453009332421,1.1236844047619048e-05,114900000.0
33,Jul-Sep_2020,07/29/2020 00:00:00,hall_a,Ar-41,54.017863928822514,0.00010518166624581871,1.1236844047619048e-05,0.0
34,Jul-Sep_2020,07/29/2020 00:00:00,hall_a,C-11,23867.718678985086,0.0005635342931381669,1.1236844047619048e-05,15500000.0
35,Jul-Sep_2020,07/29/2020 00:00:00,hall_a,H-3,5.335766369296627,1.7864618055668693e-09,1.1236844047619048e-05,22100000.0
36,Jul-Sep_2020,07/29/2020 00:00:00,hall_a,Be-7,110.93575262280453,1.4842552046251505e-07,1.1236844047619048e-05,5600000.0
37,Jul-Sep_2020,07/29/2020 00:00:00,hall_a,O-15,94410.2814132293,0.005501168099682105,1.1236844047619048e-05,60200000.0
38,Jul-Sep_2020,07/29/2020 00:00:00,hall_a,Cl-38,1030.3530304169356,0.00031222845971168707,1.1236844047619048e-05,680000.0
39,Jul-Sep_2020,07/29/2020 00:00:00,hall_a,Cl-39,12658.544988629672,0.0002100446001696804,1.1236844047619048e-05,8500000.0
40,Jul-Sep_2020,07/29/2020 00:00:00,hall_c,N-13,64989.596961617506,0.0011552453009332421,1.5731581666666668e-05,114900000.0
41,Jul-Sep_2020,07/29/2020 00:00:00,hall_c,Ar-41,16.695733266692482,0.00010518166624581871,1.5731581666666668e-05,0.0
