    Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C       C_BSY(uA)      AirMon_BSY     AirMon_B       C_D(nA)        AirMon_D       AirMon_L       AirMon_SL      IPM1C01        IPM1C02        IPM2C01        IPM2C02        IPM3C01        IPM3C02
  1.1283000e+05  2.1835100e+03  1.2710178e+02  7.0902167e-07  1.0431500e+04  8.3333328e-05  4.0655984e-07  0.0000000e+00  4.5890963e-07  9.9999999e-09  3.0153271e+02  5.2429578e-07  1.6913912e-07  9.9789403e-09  2.1390948e+02  2.1908852e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1289000e+05  2.1835100e+03  7.9822007e+00  5.1484944e-07  1.0431500e+04  1.0833333e-04  3.9686394e-07  1.6666666e-05  3.6991919e-07  9.9999999e-09  1.9074815e+01  4.4667827e-07  2.4722032e-07  9.9789403e-09  1.3426263e+01  1.3756073e+01  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1295000e+05  2.1835100e+03  3.3333331e-05  3.7772405e-07  1.0431500e+04  6.8334756e-04  3.7673346e-07  2.4999998e-05  2.2657724e-07  9.9999999e-09  4.0375269e-01  3.3612346e-07  2.5252473e-07  9.9789403e-09  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1301000e+05  2.1835100e+03  0.0000000e+00  4.3208554e-07  1.0431500e+04  8.0834985e-04  4.3672825e-07  0.0000000e+00  2.7050941e-07  9.9999999e-09  4.1250263e-01  2.9940522e-07  2.0478521e-07  9.9789403e-09  0.0000000e+00  0.0000000e+00  1.6397815e-01  2.9495754e-01  2.0773906e-01  1.6319625e-01
  1.1307000e+05  2.1835100e+03  8.3333328e-06  3.6016895e-07  1.0431500e+04  8.4166964e-04  4.1794132e-07  8.3333328e-06  2.7756359e-07  9.9999999e-09  3.9375224e-01  3.0232875e-07  2.2353282e-07  9.9789403e-09  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1313000e+05  2.1835100e+03  5.0965178e+00  3.3499210e-07  1.0431500e+04  8.5833328e-04  3.4393744e-07  0.0000000e+00  2.6355388e-07  9.9999999e-09  1.8417415e+02  3.7598199e-07  1.5281700e-07  9.9789403e-09  1.8242928e+01  1.9887410e+01  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1319000e+05  2.1835100e+03  8.0573800e+01  3.6863762e-07  1.0431500e+04  7.6666662e-04  3.4079689e-07  8.3333328e-06  3.3560770e-07  9.9999999e-09  3.1251789e+02  5.1852445e-07  2.1707414e-07  9.9789403e-09  1.4135903e+02  1.4294665e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1325000e+05  2.1835100e+03  1.4207660e+02  4.8871564e-07  1.0431500e+04  1.0250127e-03  3.4603458e-07  1.6666666e-05  4.7067508e-07  9.9999999e-09  3.3610096e+02  5.8174005e-07  1.9585749e-07  9.9789403e-09  2.3802646e+02  2.4582526e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1331000e+05  2.1835100e+03  1.3638383e+02  5.9367625e-07  1.0431500e+04  9.0001025e-04  3.5565929e-07  1.6666666e-05  3.9636608e-07  9.9999999e-09  2.9933131e+02  6.0307510e-07  2.1736116e-07  9.9789403e-09  2.2875293e+02  2.3634810e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1337000e+05  2.1835100e+03  3.5444686e+01  5.2988201e-07  1.0431500e+04  8.7501024e-04  3.5659957e-07  8.3333328e-06  2.9830197e-07  9.9999999e-09  1.3119480e+02  5.2884615e-07  1.8151759e-07  9.9789403e-09  5.9596946e+01  6.1547527e+01  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1343000e+05  2.1835100e+03  0.0000000e+00  3.3480196e-07  1.0431500e+04  8.6667700e-04  3.6698680e-07  0.0000000e+00  1.8094840e-07  9.9999999e-09  4.2868830e-01  3.8418174e-07  1.5180332e-07  9.9789403e-09  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1349000e+05  2.1835100e+03  8.7440456e+00  4.0253898e-07  1.0431500e+04  8.2500407e-04  3.5219239e-07  1.6666666e-05  2.3742949e-07  9.9999999e-09  2.3810363e+02  4.0814383e-07  2.4925293e-07  9.9789403e-09  2.1653544e+01  2.3049091e+01  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1355000e+05  2.1835100e+03  4.3428316e+01  3.8037446e-07  1.0431500e+04  8.3333328e-04  3.5523418e-07  1.6666666e-05  2.2725510e-07  9.9999999e-09  3.2209968e+02  5.3830851e-07  1.8654017e-07  9.9789403e-09  8.0605292e+01  8.1539673e+01  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1361000e+05  2.1835100e+03  1.3699635e+02  5.7320936e-07  1.0431500e+04  7.5000324e-04  3.7313913e-07  1.6666666e-05  4.4621981e-07  9.9999999e-09  3.2608253e+02  5.8021152e-07  2.1384884e-07  9.9789403e-09  2.3046084e+02  2.3774142e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
