   Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C     C_BSY(uA)      AirMon_BSY      AirMon_B        C_D(nA)        AirMon_D      AirMon_L       AirMon_SL
  1.2900000e+03  2.1835100e+03  8.3333328e-06  1.4518467e-07  1.0431500e+04  1.6666666e-05  3.3768618e-07  8.3333328e-06  1.5801676e-07  9.9999999e-09  3.0265194e-01  1.9967607e-07  8.6942674e+01  9.9999999e-09
  1.3500000e+03  2.1835100e+03  8.3333328e-06  1.5822167e-07  1.0431500e+04  4.1666664e-05  3.4138529e-07  0.0000000e+00  1.4428514e-07  9.9999999e-09  3.0250287e-01  2.2326659e-07  7.8517112e+01  9.9999999e-09
  1.4100000e+03  2.1835100e+03  2.4999998e-05  9.5840601e-08  1.0431500e+04  1.6666666e-05  4.0663694e-07  2.4999998e-05  1.2308498e-07  9.9999999e-09  2.8398813e-01  2.1379584e-07  7.9954886e+01  9.9999999e-09
  1.4700000e+03  2.1835100e+03  8.3333328e-06  2.2132521e-07  1.0431500e+04  1.6666666e-05  3.0415898e-07  1.6666666e-05  1.1473419e-07  9.9999999e-09  3.0018313e-01  2.1587765e-07  8.4738094e+01  9.9999999e-09
  1.5300000e+03  2.1835100e+03  0.0000000e+00  2.4232159e-07  1.0431500e+04  8.3333328e-06  3.8947890e-07  2.4999998e-05  1.4437800e-07  9.9999999e-09  2.9791924e-01  1.8651704e-07  9.2876726e+01  9.9999999e-09
  1.5900000e+03  2.1835100e+03  1.6666666e-05  1.6408014e-07  1.0431500e+04  1.6666666e-05  3.6174217e-07  2.4999998e-05  1.4767485e-07  9.9999999e-09  3.1250092e-01  2.2095786e-07  9.1216417e+01  9.9999999e-09
  1.6500000e+03  2.1835100e+03  8.3333328e-06  2.1851040e-07  1.0431500e+04  1.6666666e-05  3.8957611e-07  1.6666666e-05  1.6393282e-07  9.9999999e-09  3.1958552e-01  2.3025621e-07  9.0391080e+01  9.9999999e-09
  1.7100000e+03  2.1835100e+03  1.6666666e-05  1.4249397e-07  1.0431500e+04  0.0000000e+00  3.1774480e-07  1.6666666e-05  2.2195265e-07  9.9999999e-09  3.0310501e-01  2.4555522e-07  8.7573049e+01  9.9999999e-09
  1.7700000e+03  2.1835100e+03  2.4999998e-05  1.8597497e-07  1.0431500e+04  0.0000000e+00  3.3271836e-07  0.0000000e+00  1.5748426e-07  9.9999999e-09  3.0273185e-01  2.5206659e-07  8.7472301e+01  9.9999999e-09
  1.8300000e+03  2.1835100e+03  2.4999998e-05  1.9866509e-07  1.0431500e+04  1.6666666e-05  3.9674752e-07  1.6666666e-05  1.3523343e-07  9.9999999e-09  2.9958483e-01  2.5991394e-07  9.0404371e+01  9.9999999e-09
  1.8900000e+03  2.1835100e+03  0.0000000e+00  2.1146429e-07  1.0431500e+04  8.3333328e-06  3.7229096e-07  8.3333328e-06  2.0434972e-07  9.9999999e-09  3.1291847e-01  2.8408646e-07  8.8264182e+01  9.9999999e-09
  1.9500000e+03  2.1835100e+03  1.6666666e-05  1.9494229e-07  1.0431500e+04  2.4999998e-05  3.5542288e-07  0.0000000e+00  1.7631273e-07  9.9999999e-09  2.8958459e-01  3.1013405e-07  9.4845411e+01  9.9999999e-09
  2.0100000e+03  2.1835100e+03  8.3333328e-06  2.0620346e-07  1.0431500e+04  3.3333331e-05  3.2893240e-07  8.3333328e-06  2.3472206e-07  9.9999999e-09  3.0888936e-01  3.0701170e-07  9.4010050e+01  9.9999999e-09
  2.0700000e+03  2.1835100e+03  1.6666666e-05  2.1378108e-07  1.0431500e+04  8.3333328e-06  3.3086567e-07  8.3333328e-06  1.5253974e-07  9.9999999e-09  2.8361344e-01  2.9343482e-07  9.4053855e+01  9.9999999e-09
  2.1300000e+03  2.1835100e+03  2.5003336e-05  2.6922831e-07  1.0431500e+04  2.4999998e-05  3.3178070e-07  8.3333328e-06  1.9774480e-07  9.9999999e-09  3.0583476e-01  2.7805790e-07  9.3775341e+01  9.9999999e-09
  2.1900000e+03  2.1835100e+03  8.3333328e-06  2.1178935e-07  1.0431500e+04  1.6666666e-05  3.6107747e-07  1.6666666e-05  1.7220548e-07  9.9999999e-09  2.7000149e-01  3.2940294e-07  9.3757913e+01  9.9999999e-09
  2.2500000e+03  2.1835100e+03  4.1666664e-05  2.0098966e-07  1.0431500e+04  8.3333328e-06  3.9985640e-07  1.6666666e-05  1.7040014e-07  9.9999999e-09  3.0416791e-01  3.0883980e-07  9.4535048e+01  9.9999999e-09
  2.3100000e+03  2.1835100e+03  8.3333328e-06  2.2729743e-07  1.0431500e+04  3.3333331e-05  3.5512101e-07  1.6666666e-05  2.2479210e-07  9.9999999e-09  3.0833484e-01  3.3673781e-07  9.5666964e+01  9.9999999e-09
  2.3700000e+03  2.1835100e+03  0.0000000e+00  2.0514419e-07  1.0431500e+04  1.6666666e-05  3.6961052e-07  4.1666664e-05  1.5096426e-07  9.9999999e-09  2.7208502e-01  3.1720730e-07  9.2213562e+01  9.9999999e-09
  2.4300000e+03  2.1835100e+03  1.6666666e-05  2.0405312e-07  1.0431500e+04  8.3333328e-06  3.7365610e-07  8.3333328e-06  1.8380712e-07  9.9999999e-09  2.9333493e-01  3.0674958e-07  9.0096812e+01  9.9999999e-09
  2.4900000e+03  2.1835100e+03  2.4999998e-05  2.4659290e-07  1.0431500e+04  4.1666664e-05  3.8546356e-07  0.0000000e+00  2.0716248e-07  9.9999999e-09  3.0375209e-01  2.3666027e-07  8.3339786e+01  9.9999999e-09
  2.5500000e+03  2.1835100e+03  2.4999998e-05  1.7982487e-07  1.0431500e+04  8.3333328e-06  3.6058705e-07  1.6666666e-05  3.5542246e-07  9.9999999e-09  2.9000233e-01  2.5173469e-07  8.1373411e+01  9.9999999e-09
  2.6100000e+03  2.1835100e+03  1.6666666e-05  2.1321216e-07  1.0431500e+04  1.6666666e-05  3.7290195e-07  8.3333328e-06  2.6179564e-07  9.9999999e-09  3.0333580e-01  2.1809423e-07  8.1890329e+01  9.9999999e-09
  2.6700000e+03  2.1835100e+03  5.0003473e-05  2.3558570e-07  1.0431500e+04  8.3333328e-06  2.6743064e-07  5.0003482e-05  2.6394699e-07  9.9999999e-09  2.8375217e-01  1.6598771e-07  9.3045159e+01  9.9999999e-09
  2.7300000e+03  2.1835100e+03  1.6666666e-05  2.2604502e-07  1.0431500e+04  0.0000000e+00  4.2808954e-07  1.6666666e-05  4.2432107e-07  9.9999999e-09  3.0958567e-01  2.3219496e-07  9.5053941e+01  9.9999999e-09
  2.7900000e+03  2.1835100e+03  2.4999998e-05  2.3740862e-07  1.0431500e+04  0.0000000e+00  2.9891105e-07  8.3333328e-06  2.6720171e-07  9.9999999e-09  3.1083482e-01  2.2189252e-07  9.6109459e+01  9.9999999e-09
  2.8500000e+03  2.1835100e+03  8.3333328e-06  2.1357118e-07  1.0431500e+04  8.3333328e-06  3.4831545e-07  8.3333328e-06  2.1428398e-07  9.9999999e-09  3.1041826e-01  1.6277175e-07  9.6108277e+01  9.9999999e-09
  2.9100000e+03  2.1835100e+03  8.3333328e-06  2.3901651e-07  1.0431500e+04  8.3333328e-06  3.6728906e-07  8.3333328e-06  2.3096300e-07  9.9999999e-09  3.1708459e-01  2.0632140e-07  9.6148984e+01  9.9999999e-09
