    Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C       C_BSY(uA)      AirMon_BSY     AirMon_B       C_D(nA)        AirMon_D       AirMon_L       AirMon_SL      IPM1C01        IPM1C02        IPM2C01        IPM2C02        IPM3C01        IPM3C02
  8.7000000e+02  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  4.0833331e-04  9.9719299e-10  8.3333328e-06  5.6592796e-08  9.9999999e-09  2.5575487e-01  6.4645779e-03  1.0000000e+01  4.0010172e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  9.3000000e+02  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  5.7501254e-04  9.9719299e-10  1.6666666e-05  7.3752507e-08  9.9999999e-09  2.3758162e-01  2.8604163e-04  9.9974205e+00  5.0253854e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  9.9000000e+02  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  4.9166959e-04  9.9719299e-10  0.0000000e+00  5.8310844e-08  9.9999999e-09  2.4083417e-01  2.1456970e-03  9.8170138e+00  3.3850885e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.0500000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  4.1666936e-04  9.9719299e-10  0.0000000e+00  3.7737261e-08  9.9999999e-09  2.3708440e-01  5.3193027e-03  8.9447007e+00  7.3589613e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1100000e+03  1.9226899e+03  8.3333328e-06  9.9719299e-10  1.9226899e+03  3.8334001e-04  9.9719299e-10  0.0000000e+00  4.2176958e-08  9.9999999e-09  2.3583513e-01  1.6701440e-03  8.3303307e+00  7.8208143e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1700000e+03  1.9226899e+03  4.9999997e-05  9.9719299e-10  1.9226899e+03  4.0833686e-04  9.9719299e-10  0.0000000e+00  7.1725173e-08  9.9999999e-09  2.3208427e-01  1.3602841e-03  8.0754223e+00  2.9751622e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.2300000e+03  1.9226899e+03  4.9999997e-05  9.9719299e-10  1.9226899e+03  3.5833623e-04  9.9719299e-10  0.0000000e+00  5.1521367e-08  9.9999999e-09  2.3708459e-01  3.6358884e-03  9.1659955e+00  2.4989298e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.2900000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  3.6666664e-04  9.9719299e-10  1.6666666e-05  1.9136286e-07  9.9999999e-09  2.3443724e-01  3.6483335e-03  9.8947150e+00  5.1287747e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.3500000e+03  1.9226899e+03  4.9999997e-05  9.9719299e-10  1.9226899e+03  3.2500287e-04  9.9719299e-10  0.0000000e+00  6.7601756e-08  9.9999999e-09  2.3223357e-01  7.5261743e-04  1.0000000e+01  5.8823178e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.4100000e+03  1.9226899e+03  2.5002837e-05  9.9719299e-10  1.9226899e+03  4.0833710e-04  9.9719299e-10  0.0000000e+00  8.3706727e-08  9.9999999e-09  2.3250161e-01  4.1969927e-03  9.9417951e+00  7.8929183e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
