   Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C     C_BSY(uA)      AirMon_BSY      AirMon_B        C_D(nA)        AirMon_D      AirMon_L       AirMon_SL
  1.2900000e+03  2.1835100e+03  0.0000000e+00  1.1946495e-07  2.1835100e+03  4.9999997e-05  1.8312999e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  4.0875285e-01  2.5753851e-07  9.0889460e-08  4.4689200e-08
  1.3500000e+03  2.1835100e+03  0.0000000e+00  7.9204706e-08  2.1835100e+03  8.3333328e-06  1.6589901e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  4.1541970e-01  1.4615440e-07  7.5825533e-08  3.1913554e-08
  1.4100000e+03  2.1835100e+03  1.6666666e-05  8.1552093e-08  2.1835100e+03  4.9999997e-05  1.3923262e-08  1.6666666e-05  1.0227500e-08  9.9999999e-09  4.1333622e-01  2.1726657e-07  7.1181318e-08  2.6417421e-08
  1.4700000e+03  2.1835100e+03  8.3333328e-06  1.0127658e-07  2.1835100e+03  3.3333331e-05  1.2433900e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  3.8166971e-01  2.3616350e-07  9.5982284e-08  1.8548431e-05
  1.5300000e+03  2.1835100e+03  3.3333331e-05  3.2353982e-08  2.1835100e+03  2.4999998e-05  1.4323210e-08  1.6666666e-05  1.0227500e-08  9.9999999e-09  4.0000162e-01  2.1153558e-07  7.3719094e-08  1.6538468e-08
  1.5900000e+03  2.1835100e+03  8.3333328e-06  1.3702113e-05  2.1835100e+03  3.3333331e-05  4.0398818e-08  3.3333331e-05  1.0227500e-08  9.9999999e-09  4.1050899e-01  1.4599426e-07  1.1253933e-07  3.9105750e-08
  1.6500000e+03  2.1835100e+03  1.6666666e-05  1.2698032e-07  2.1835100e+03  2.4999998e-05  1.8214456e-08  1.6666666e-05  1.0227500e-08  9.9999999e-09  4.0158004e-01  1.8577054e-07  1.1173662e-07  2.3888649e-08
  1.7100000e+03  2.1835100e+03  8.3333328e-06  1.4968389e-07  2.1835100e+03  4.1666664e-05  1.5235636e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  3.7291822e-01  1.7160593e-07  7.3843418e-08  2.7761670e-08
  1.7700000e+03  2.1835100e+03  1.6666666e-05  8.9394261e-06  2.1835100e+03  5.8333330e-05  1.8475403e-08  2.4999998e-05  1.0227500e-08  9.9999999e-09  4.0666968e-01  1.6331901e-07  5.0010527e-08  2.7842656e-08
  1.8300000e+03  2.1835100e+03  8.3333328e-06  8.0306271e-08  2.1835100e+03  4.9999997e-05  1.6189190e-08  1.6666666e-05  1.0227500e-08  9.9999999e-09  4.0333548e-01  1.7672316e-07  9.4472657e-08  2.5469000e-08
  1.8900000e+03  2.1835100e+03  0.0000000e+00  1.2366486e-07  2.1835100e+03  2.4999998e-05  1.2294800e-08  1.6666666e-05  1.0227500e-08  9.9999999e-09  4.0921132e-01  2.0990359e-07  4.1294911e-08  5.4562544e-08
  1.9500000e+03  2.1835100e+03  8.3333328e-06  5.2106146e-08  2.1835100e+03  4.9999997e-05  1.2860093e-08  0.0000000e+00  1.0227500e-08  9.9999999e-09  4.0162816e-01  1.6982519e-07  7.4111574e-08  1.3122627e-08
  2.0100000e+03  2.1835100e+03  8.3333328e-06  1.5545257e-05  2.1835100e+03  5.0003065e-05  1.8014258e-08  0.0000000e+00  1.0227500e-08  9.9999999e-09  3.9458614e-01  1.9725600e-07  8.0832146e-08  1.3235581e-08
  2.0700000e+03  2.1835100e+03  0.0000000e+00  9.9489685e-08  2.1835100e+03  2.4999998e-05  2.0530197e-08  0.0000000e+00  1.0678589e-08  9.9999999e-09  3.9334971e-01  1.8529361e-07  5.0024711e-08  2.3695182e-08
  2.1300000e+03  2.1835100e+03  8.3333328e-06  1.1929087e-07  2.1835100e+03  6.6666663e-05  2.0790099e-08  0.0000000e+00  1.0578400e-08  9.9999999e-09  4.0457623e-01  1.9518583e-07  1.0171359e-07  2.8072644e-08
  2.1900000e+03  2.1835100e+03  1.6666666e-05  7.1953661e-08  2.1835100e+03  4.1666664e-05  1.3702716e-08  8.3333328e-06  1.0578400e-08  9.9999999e-09  4.1041422e-01  2.2555046e-07  1.1224962e-07  1.5662621e-05
  2.2500000e+03  2.1835100e+03  1.6666666e-05  8.0116107e-08  2.1835100e+03  3.3333331e-05  2.6093064e-08  0.0000000e+00  1.0578400e-08  9.9999999e-09  4.1291965e-01  1.7196641e-07  9.0576616e-08  2.9359908e-08
  2.3100000e+03  2.1835100e+03  1.6666666e-05  1.2235057e-07  7.3979166e+03  7.4999995e-05  1.4442899e-08  2.4999998e-05  1.0578400e-08  9.9999999e-09  3.9792002e-01  2.0820721e-07  1.0225034e-07  1.4749489e-08
  2.3700000e+03  2.1835100e+03  2.4999998e-05  1.1138151e-07  1.0431500e+04  6.6671171e-05  1.1701010e-08  8.3333328e-06  1.0578400e-08  9.9999999e-09  4.0496876e-01  1.6773378e-07  7.8766701e-08  3.6418678e-08
  2.4300000e+03  2.1835100e+03  2.4999999e-05  5.8369761e-08  1.0431500e+04  4.1666664e-05  1.1810367e-08  2.4999998e-05  1.0578400e-08  9.9999999e-09  4.2628622e-01  2.2534717e-07  8.3165653e-08  4.2516328e-08
  2.4900000e+03  2.1835100e+03  2.4999998e-05  8.0771723e-08  1.0431500e+04  1.6666666e-05  1.2860400e-08  8.3333328e-06  1.0578400e-08  9.9999999e-09  4.0416838e-01  1.5735684e-07  9.5740831e-08  4.4817474e-08
  2.5500000e+03  2.1835100e+03  8.3333328e-06  1.4558089e-07  1.0431500e+04  4.9999997e-05  1.3308846e-08  8.3333328e-06  1.0578400e-08  9.9999999e-09  3.8916848e-01  1.4892672e-07  1.0037780e-07  5.4914242e-08
  2.6100000e+03  2.1835100e+03  8.3333328e-06  1.0355332e-07  1.0431500e+04  4.9999997e-05  2.1815804e-08  2.4999998e-05  1.0578400e-08  9.9999999e-09  4.0083588e-01  1.4773406e-07  1.3822371e-07  1.0881212e-07
  2.6700000e+03  2.1835100e+03  8.3333328e-06  5.5870315e-06  1.0431500e+04  1.6666666e-05  1.5230053e-08  0.0000000e+00  1.0578400e-08  9.9999999e-09  3.9658751e-01  1.7161773e-07  7.6341487e-08  1.4528271e-07
  2.7300000e+03  2.1835100e+03  2.4999998e-05  1.1963362e-07  1.0431500e+04  5.8333330e-05  2.3951231e-08  1.6666666e-05  1.0578400e-08  9.9999999e-09  3.9300021e-01  1.6650380e-07  9.4117638e-08  1.6981650e-07
